date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,sunshine_total_min
Thu Sep 24 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,27.8,22.8,32.2,0,7.6,464
Fri Sep 25 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,28.3,23.9,32.8,0,7.6,326
Sat Sep 26 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,28.9,24.4,33.3,0,3.2,676
Sun Sep 27 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,30.6,25,35.6,4.3,3.6,570
Mon Sep 28 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,30,23.9,35.6,0,3.2,664
Tue Sep 29 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,28.3,23.3,33.3,0,3.6,608
Wed Sep 30 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,27.8,22.8,32.8,0,10.1,660
Thu Oct 01 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,28.3,23.9,32.2,0,15.1,275
Fri Oct 02 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,28.9,24.4,32.8,0,14.4,449
Sat Oct 03 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,29.4,25,33.3,0,17.6,464
Sun Oct 04 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,25,17.2,32.8,8.9,22.7,414
Mon Oct 05 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,18.9,13.9,23.3,76.5,22,237
Tue Oct 06 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,20.6,13.3,27.8,0,10.4,692
Wed Oct 07 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,20,12.2,27.8,0,4.7,700
Thu Oct 08 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,20.6,14.4,26.1,0,3.2,691
Fri Oct 09 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,20,13.3,26.7,0,6.1,682
Sat Oct 10 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,21.7,14.4,28.3,0,4,602
Sun Oct 11 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,25.6,21.7,29.4,0,8.6,353
Mon Oct 12 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,24.4,19.4,28.9,0,5.4,379
Tue Oct 13 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,22.8,17.2,27.8,0,6.1,231
Wed Oct 14 1998 19:00:00 GMT-0500 (Central Daylight Time),Autumn,23.9,17.8,29.4,0,12.2,326
